geocode,season_end_year,disease,total_cases_L1,peak_week,R0,beta,gamma,duration_weeks,rmse,success
5211206,2014,dengue,147.37037339836084,201421,1.99573234596658,0.6170731012702967,0.30919632210071424,22,0.23329240600748466,True
5211206,2015,dengue,451.1211796859844,201511,1.8021573694916238,0.5406472108923455,0.30000000002489147,29,3.8437419207339243,True
5211206,2016,dengue,78.2401782993924,201614,1.5692612029869464,0.5178561969846692,0.32999999999934804,36,0.19707182336757487,True
5211206,2018,dengue,152.13519624939957,201820,1.8004390225565132,0.5869286971301293,0.32599198849663147,26,0.40052633290170925,True
5211206,2019,dengue,217.74094910331013,201918,1.6330058596740138,0.5388919336842609,0.32999999999500085,32,0.322421641390171,True
5211206,2020,dengue,229.5877781077636,202015,2.039618568930706,0.6327656014126937,0.3102372232982898,22,0.28482543613445466,True
5211206,2022,dengue,729.2628117285558,202215,1.9741883489527532,0.6514821551466694,0.3299999999960798,21,2.89901686427992,True
5211206,2024,dengue,1475.517280962439,202417,2.0027573840824093,0.6603963168127867,0.3297435436071835,21,7.941578403311233,True
5211206,2025,dengue,1009.3330475135058,202507,1.7834573560587035,0.5350372068260136,0.3000000000047114,29,44.03220277302589,True
5211305,2013,dengue,131.0912481491372,201312,2.156173669240578,0.6468521007987111,0.3000000000123078,20,0.2493158325856167,True
5211305,2015,dengue,155.557622068676,201510,1.848241914991163,0.5544725745294827,0.30000000001738614,27,1.834710569774443,True
5211305,2018,dengue,75.70068799386698,201817,1.4593566479291913,0.4814763464246181,0.329923701041707,43,0.1720318035314777,True
5211305,2020,dengue,124.1945517117849,202008,1.8792932694294857,0.5637879808432054,0.300000000007641,26,0.3078993446262074,True
5211305,2021,dengue,150.6906197513778,202107,1.4467498886447108,0.47742746322171786,0.3299999999785473,35,0.7844008853938367,True
5211305,2022,dengue,150.53523151621772,202216,1.87011888532832,0.5784603805909132,0.30931743705125897,25,0.37455245389222636,True
5211305,2024,dengue,228.25970865954173,202419,1.6794887135064438,0.5542312754466864,0.32999999999378377,29,0.9474858964368572,True
5211305,2025,dengue,95.45570764853603,202511,1.4926929332008205,0.4478078799605488,0.30000000000020277,38,0.8387585313213967,True
5211404,2014,dengue,357.15014156365527,201411,1.6479631913756962,0.4943889574151189,0.30000000000146243,34,9.567213199594626,True
5211404,2015,dengue,75.72923855520568,201516,1.748169083428844,0.5763502065705903,0.3296879072132668,27,0.11365761375242994,True
5211404,2016,dengue,103.05795042535846,201611,1.6710753749379768,0.515485770383974,0.30847547520297025,32,0.21040067401950363,True
5211404,2022,dengue,186.45602881562658,202212,1.7811637458384997,0.5343491238851719,0.3000000000750195,29,0.41944026930221096,True
