geocode,season_end_year,disease,total_cases_L1,peak_week,R0,alpha,beta,gamma,duration_weeks,rmse,success
1100205,2017,dengue,399.13766453863576,201704,1.8295709830389801,0.45342377569906267,0.5498059801988182,0.300510876755146,26,2.661266214112413,True
1100205,2018,dengue,112.18256340223873,201810,1.4528221999028277,0.3116845268010873,0.43584665999507577,0.30000000001667615,38,0.3896787323513583,True
1100205,2019,dengue,119.42662295332582,201920,1.2766256455255285,0.2166850137274614,0.38309562906456407,0.30008454742177854,50,0.2872743139056752,True
1100205,2020,dengue,327.5160809523371,202008,1.4749636005894275,0.32201716733865277,0.4424893466348856,0.3000001806539885,36,3.9958989262752995,True
1100205,2021,dengue,210.68194700615896,202109,1.439402985370517,0.30526752399183776,0.43182089561431936,0.3000000000021983,39,3.2893560532772264,True
1100205,2022,dengue,1827.8012087206685,202216,1.6184839019941824,0.38213781504538274,0.48554517060904123,0.3000000000066646,36,41.96601033732049,True
1100205,2023,dengue,1144.0856963723852,202311,1.5426031980432844,0.3517451530837934,0.46278095941812275,0.3000000000033304,37,34.583348611973314,True
1100205,2024,dengue,603.7325483177473,202409,1.580675785729541,0.3673591959666399,0.4742027357373793,0.3000000000117146,35,25.96242332956872,True
1100205,2025,dengue,223.9639293054257,202516,1.417295757161229,0.2944309647811626,0.42518872716464967,0.30000000001148736,46,0.5973353227070144,True
1100254,2011,dengue,60.17786199429393,201108,1.4934528312873037,0.33041072402799937,0.4482792127809516,0.3001629535192958,36,0.2820084424780142,True
1100254,2013,dengue,235.91454993861714,201312,2.119256414274615,0.5281363815797238,0.635884455985689,0.3000507402986161,21,2.1430693807797674,True
1100254,2016,dengue,108.47040438906923,201614,1.8008233071997772,0.44469843543119836,0.5942716913688206,0.3299999999960541,26,0.5663081064652093,True
1100254,2022,dengue,223.39531994669883,202213,1.717056323514612,0.4176079221716398,0.5151168970557716,0.30000000000080834,31,2.133038871024043,True
1100254,2023,dengue,134.0623754644757,202308,2.636840222240029,0.6207582122095788,0.7925835309315775,0.30058079524373604,15,0.7262438956174173,True
1100254,2024,dengue,157.7399261624221,202405,2.6106944568122024,0.6169601550305303,0.7832083370610085,0.3000000000066449,15,0.3789360211502528,True
